"BookNumber","id","type","isPost","journal_zht","journal_en","publisher_zht","datePublished","EndPublishedDate","Year","BookType","journalIssue","title_zht","articleSection_zht","ArticleType","author_zht","contributor_zht","pageStart","pageEnd","BeginPage","EndPage","PageRemarks","ColRemarks","BeginFileNumber","identifier","ExternalLinks","keywords","keywords_withEng","image","Files","Staff","text_zht"
"FMP-120504","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"多情河歌集",NULL,"14",NULL,NULL,"1","1","888","888",NULL,NULL,"1","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集","多情河---多情河歌集","2922_001.jpg","封面##2922_001.jpg","Kenny",
"FMP-120505","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"多情河",NULL,"9","李雋青---姚敏",NULL,"1","1","1","1",NULL,NULL,"2","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---李雋青---姚敏","多情河---多情河歌集---李雋青---姚敏","2922_002.jpg","頁1##2922_002.jpg","Kenny","<p id =""ocrHead"">多情河</p><p>李隽青詞</p><p>姚　敏曲</p><p>（男）多情河呀水盈盈　東村西村一水分</p><p>（女）多情河呀水盈盈　郎愛歌唱姐愛聽</p><p>（女）多情河呀水盈盈　隔岸歌聲最好聽</p><p>東邊的姑娘長得好　西邊的兒郎來求親</p><p>只要你情歌唱得好</p><p>知道你情歌唱得好</p><p>你有情求我有心（男）多情河呀水盈盈</p><p>唱歌難得有知音　只要你姑娘聽得好</p><p>一輩子情歌唱不停　夜夜到河邊更多情</p>"
"FMP-120506","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"河上相思",NULL,"9","司徒明---姚敏",NULL,"2","2","2","2",NULL,NULL,"3","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---河上相思---司徒明---姚敏","多情河---多情河歌集---河上相思---司徒明---姚敏","2922_003.jpg","頁2##2922_003.jpg","Kenny","<p id =""ocrHead"">河上相思</p><p>司徒明詞</p><p>姚　敏曲</p><p>（一）多情的河上喲　月無情 </p><p>（二）多情的河上喲　月淒涼</p><p>（三）多情的河上喲　月西沉</p><p>（四）多情的河上喲　月光寒</p><p>小妹妹想郎喲　淚零零</p><p>小妹妹想郎喲　淚兩行</p><p>小妹妹想郎喲　淚紛紛</p><p>小妹妹想郎喲　淚難乾</p><p>情郎一去無踪影　說什麽情歌唱不停喲</p><p>可憐夜夜河邊唱　唱盡那情歌不見郎喲</p><p>可憐夜夜河邊等　聽不見情歌唱一聲喲</p><p>可憐夜夜河邊站　滿肚子相思唱不完喲</p><p>說什麽情歌唱不停喲　唱不停</p><p>唱盡那情歌不見郎喲　不見郎</p><p>聽不見情郎唱一聲喲　唱一聲</p><p>滿肚子相思唱不完喲　唱不完</p>"
"FMP-120507","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"歌唱姻緣",NULL,"9","李雋青---姚敏",NULL,"3","3","3","3",NULL,NULL,"4","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---歌唱姻緣---李雋青---姚敏","多情河---多情河歌集---歌唱姻緣---李雋青---姚敏","2922_004.jpg","頁3##2922_004.jpg","Kenny","<p id =""ocrHead"">歌唱姻緣</p><p>李隽青詞</p><p>姚　敏曲</p><p>（男）那一條船兒沒有舵呀　沒有舵唷</p><p>（女）那一隻鳥兒沒有窩呀　沒有窩唷</p><p>（合）那一個兒郎不唱歌呀　不唱歌唷</p><p>那一個姑娘不唱歌呀　不唱歌唷</p><p>那一個兒郎不唱歌呀　不唱歌唷</p><p>那一個姑娘不會和呀　不會和唷</p><p>船兒搖到河東岸唷　歌兒唱過多情</p><p>鳥兒去到河東岸唷　歌兒唱進人心</p><p>你來和呀我來唱唷　山歌唱出情意</p><p>河唷　嗨嗨唷嗨嗨唷</p><p>窩唷　嗨嗨唷嗨嗨唷</p><p>多唷　嗨嗨唷嗨嗨唷</p><p>你不會唱歌　那裡去嫁情哥　你不會唱歌</p><p>你不會唱歌　那裡去娶老婆　你不會唱歌</p><p>你不會唱歌　一輩子不快活　你不會唱歌</p><p>那裡去嫁情哥</p><p>那裡去娶老婆</p><p>一輩子不快活</p>"
"FMP-120508","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"種田歌",NULL,"9","李雋青---姚敏",NULL,"4","4","4","4",NULL,NULL,"5","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---種田歌---李雋青---姚敏","多情河---多情河歌集---種田歌---李雋青---姚敏","2922_005.jpg","頁4##2922_005.jpg","Kenny","<p id =""ocrHead"">種田歌</p><p>李隽青詞</p><p>姚　敏曲</p><p>（一）快快的起了床唷…… （女合）啦…………啦…………</p><p>（二）春天裡出點力唷……　啦…………啦…………</p><p>（五）滿臉的油光光唷……　啦…………啦…………</p><p>（六）大家都出點力唷……　啦…………啦…………</p><p>匆匆的出了門唷…… （女合）啦…………啦…………</p><p>秋天裡有收成唷……　啦…………啦…………</p><p>一頭的汗淋淋唷……　啦…………啦…………</p><p>大家都有收成唷……　啦…………啦…………</p><p>男女呀老少搶先定唷　牽牛呀帶飯　亂紛</p><p>大家耕呀大家種唷</p><p>不怕勞呀不怕苦唷　有談呀有笑　手不</p><p>年年耕呀年年種唷</p><p>紛唷　勤勤呀懇懇趕早晨唷</p><p>停唷　安安呀樂樂过一</p><p>（女獨）（三）趁着那猛太陽唷　迎着那好春風唷　一邊唱呀一邊種呀</p><p>　　　　（四）你也來唱幾句唷　我也來和幾聲唷　一邊唱呀一邊和呀</p><p>種田的都是一家人唷　唱歌的都是一家</p><p>人唷　生唷　安安樂樂過一生唷</p>"
"FMP-120509","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"摸泥鰍",NULL,"9","李雋青---姚敏",NULL,"5","5","5","5",NULL,NULL,"6","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---摸泥鰍---李雋青---姚敏","多情河---多情河歌集---摸泥鰍---李雋青---姚敏","2922_006.jpg","頁5##2922_006.jpg","Kenny","<p id =""ocrHead"">摸泥鰍</p><p>李隽青詞</p><p>姚　敏曲</p><p>（一）不用那捕魚網唷　不要那釣魚鈎唷</p><p>（二）看你望那裡跑唷　看你望那裡溜唷</p><p>（四）不用那捕魚網唷　不要那釣魚鈎唷</p><p>空空的一双手　偷偷的摸泥鰍</p><p>抓不住你的尾</p><p>空空的一双手</p><p>抓得住你的頭（三）小的丟呀大的留</p><p>一條一條裝滿簍　帶給爹爹送燒酒</p><p>免他吃得口水流　偷偷的摸泥鰍</p>"
"FMP-120510","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"辦嫁粧",NULL,"9","李雋青---姚敏",NULL,"6","6","6","6",NULL,NULL,"7","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---辦嫁粧---李雋青---姚敏","多情河---多情河歌集---辦嫁粧---李雋青---姚敏","2922_007.jpg","頁6##2922_007.jpg","Kenny","<p id =""ocrHead"">辦嫁粧</p><p>李隽青詞</p><p>姚　敏曲</p><p>興匆匆　喜洋洋</p><p>紅漆盆　描金箱</p><p>橫商量　豎商量</p><p>爺兒倆進城辦嫁粧唷</p><p>色金戒指亮堂堂唷</p><p>東西樣樣要精良唷</p><p>噯噯唷呀　噯呀噯噯唷　一路走來</p><p>噯噯唷呀　噯呀噯噯唷　找布衣料</p><p>噯噯唷呀　噯呀噯噯唷　將來抬過</p><p>一路想唷　噯噯唷呀　噯呀噯噯唷 </p><p>時新樣唷　噯噯唷呀　噯呀噯噯唷 </p><p>大街上唷　噯噯唷呀　噯呀噯噯唷 </p><p>想到了一件又一樁唷　花露水呀</p><p>洋緞的被面兩邊光唷　</p><p>好裝璜　胭脂花粉噴噴香唷</p><p>梳妝匣呀要漂亮　玻璃鏡子嵌中</p><p>央唷　高家的女兒夠排塲唷</p>"
"FMP-120511","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"假意真情",NULL,"9","李雋青---姚敏",NULL,"7","7","7","7",NULL,NULL,"8","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---假意真情---李雋青---姚敏","多情河---多情河歌集---假意真情---李雋青---姚敏","2922_008.jpg","頁7##2922_008.jpg","Kenny","<p id =""ocrHead"">假意真情</p><p>李隽青詞</p><p>姚　敏曲</p><p>（女）發什麽昏呀做什麽夢　把人的假意當真情</p><p>千思萬想自己蠢　不該愛上了唱歌人</p><p>（男）犯不着悲呀　用不着恨　唱歌的不是負心人</p><p>（男）嘴這麽凶呀　心這麽硬　姑娘你叫我口難分</p><p>千錯萬錯我都認　今天特為來表真</p><p>千言萬語我說盡</p><p>誠　（女）你冒了人家名呀 </p><p>　　（男）我為了要謀生呀</p><p>騙了我的心　要是你這樣　莫真情</p><p>眛了我的心　（女）難道你生活靠欺人</p><p>真情沒人信　專門做替身　還來獻什麽</p><p>假殷勤　還來獻什麽假殷勤</p>"
"FMP-120512","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"等情郎",NULL,"9","李雋青---姚敏",NULL,"8","8","8","8",NULL,NULL,"9","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---等情郎---李雋青---姚敏","多情河---多情河歌集---等情郎---李雋青---姚敏","2922_009.jpg","頁8##2922_009.jpg","Kenny","<p id =""ocrHead"">等情郎</p><p>李隽青詞</p><p>姚　敏曲</p><p>小妹妹呀心裡慌　殺雞斬肉等情</p><p>小妹妹呀心裡慌　煎魚煮蛋等情</p><p>小妹妹呀心裡慌　東張西望等情</p><p>郎哎哎喲　雞兒要煨得爛喲</p><p>郎哎哎喲　魚兒要配成對喲</p><p>郎哎哎喲　菜兒也快要涼喲</p><p>肉兒要燜得香哎喲</p><p>唇兒要湊成雙哎喲</p><p>飯兒也快要黃哎喲</p><p>添點兒鹽　加點兒薑　小妹妹心慌手也慌　想要薑呀</p><p>拿錯了蒜　想要鹽呀　拿錯了糖</p>"
"FMP-120513","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"小妹妹的心",NULL,"9","李雋青---王福齡",NULL,"9","9","9","9",NULL,NULL,"10","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---小妹妹的心---李雋青---王福齡","多情河---多情河歌集---小妹妹的心---李雋青---王福齡","2922_010.jpg","頁9##2922_010.jpg","Kenny","<p id =""ocrHead"">小妹妹的心</p><p>李隽青詞</p><p>王福齡曲</p><p>大年呀初一是新年</p><p>正月呀十五是元宵</p><p>五月呀初五是端陽</p><p>八月呀十五是中秋</p><p>小妹妹心中有點兒酸</p><p>小妹妹心中有點兒焦</p><p>小妹妹心中有點兒慌</p><p>小妹妹心中有點兒愁</p><p>情郎一去沒音信</p><p>年年同把花燈看</p><p>整天站在河邊望</p><p>抬頭怕看團圓月</p><p>做好的新衫不想穿唷噯　喲噯喲做好的新衫不想</p><p>獨自兒看燈第一遭唷噯　喲噯喲獨自兒看燈第一</p><p>只見那龍船不見郎唷噯　喲噯喲只見那龍船不見</p><p>想到那情郎淚暗流唷噯　喲噯喲想到那情郎</p><p>穿　　淚暗流</p><p>遭</p><p>郎</p>"
"FMP-120514","Article","Y","2922","多情河歌集",NULL,NULL,"1957-01-01",NULL,"1957","4",NULL,"表錯情",NULL,"9","李雋青---王福齡",NULL,"10","10","10","10",NULL,NULL,"11","https://library.hkbu.edu.hk/record/?ID=alma991026493720103409&T=PC","https://hkmdb.com/db/movies/view.mhtml?id=2383&display_set=big5","多情河---多情河歌集---表錯情---李雋青---王福齡","多情河---多情河歌集---表錯情---李雋青---王福齡","2922_011.jpg","頁10##2922_011.jpg","Kenny","<p id =""ocrHead"">表錯情</p><p>李隽青詞</p><p>王福齡曲</p><p>（女）別灰心呀你別難過　說來說去是哥哥錯</p><p>（男）不灰心呀我不難過　說來說去我自己錯</p><p>（女）心太狠呀你情太薄　有了金花就忘了我</p><p>那一樣不能呌人做　偏偏要呌人騙老婆</p><p>那一家長工不能做　偏偏在此地受折磨</p><p>哥哥他沒有疑心錯　實在你搶了他老婆 </p><p>（女）你自己問問心　我待你沒有錯</p><p>（男）誰跟你有過情　你不要隨口說</p><p>难道你不念舊時情　就忍心丟下我</p><p>釘你的小伙子那麽多</p><p>我求你饒饒我　他老婆　你搶了他老婆</p>"
